	card1	card2	suited	force	qualifies	hrank
656	♠3	♡5	False	0	False	One Pair
657	♣7	♣A	True	0	True	Flush
658	♣6	♢A	False	0	True	One Pair
659	♠9	♠4	True	0	True	Three Of A Kind
660	♣7	♢T	False	0	True	Four Of A Kind
661	♣T	♡T	False	2	True	Full House
662	♢5	♠3	False	0	True	Three Of A Kind
663	♡6	♢5	False	0	True	Four Of A Kind
664	♢K	♡3	False	0	True	Two Pair
665	♢A	♡4	False	0	True	Two Pair
666	♢8	♠J	False	0	True	Four Of A Kind
667	♡8	♡3	True	0	True	Three Of A Kind
668	♣5	♡Q	False	0	False	One Pair
669	♣8	♠2	False	2	True	Four Of A Kind
670	♡7	♣Q	False	0	True	Three Of A Kind
671	♠6	♣J	False	0	False	One Pair
672	♠A	♣T	False	0	True	Two Pair
673	♣7	♠K	False	0	False	One Pair
674	♢T	♣3	False	0	False	One Pair
675	♡7	♣3	False	0	True	Three Of A Kind
676	♣A	♡9	False	0	True	Three Of A Kind
677	♠8	♢J	False	0	True	One Pair
678	♢2	♢A	True	1	True	Three Of A Kind
679	♠A	♣5	False	0	False	High Card
680	♡2	♣K	False	1	True	Flush
681	♠5	♣Q	False	0	True	Four Of A Kind
682	♠7	♡5	False	0	True	Straight
683	♠8	♡7	False	0	True	Three Of A Kind
684	♡3	♡A	True	0	True	Two Pair
685	♠5	♢K	False	0	False	One Pair
686	♣Q	♣5	True	0	False	High Card
687	♣2	♢5	False	1	True	Four Of A Kind
688	♢8	♠6	False	0	True	Three Of A Kind
689	♢6	♡J	False	0	True	Full House
690	♠2	♢T	False	1	True	Three Of A Kind
691	♠7	♡9	False	0	True	Flush
692	♡Q	♡7	True	0	True	One Pair
693	♣6	♠9	False	0	True	Three Of A Kind
694	♣6	♡3	False	0	True	Straight
695	♢5	♣5	False	2	True	Three Of A Kind
696	♠Q	♣5	False	0	True	Two Pair
697	♠Q	♡Q	False	2	True	Two Pair
698	♡T	♠2	False	2	True	Four Of A Kind
699	♡K	♣8	False	0	False	High Card
700	♣Q	♠8	False	0	True	Two Pair
701	♣2	♣K	True	1	True	Three Of A Kind
702	♢J	♠Q	False	0	True	Two Pair
703	♠9	♠Q	True	0	True	Three Of A Kind
704	♣2	♢T	False	1	True	Four Of A Kind
705	♠J	♠7	True	0	True	Three Of A Kind
706	♠6	♣7	False	0	True	Two Pair
707	♢5	♢2	True	2	True	Three Of A Kind
708	♢A	♠5	False	0	True	One Pair
709	♢Q	♣2	False	2	True	Flush
710	♡6	♣5	False	0	True	Full House
711	♡T	♡3	True	0	True	Four Of A Kind
712	♠A	♣5	False	0	True	Three Of A Kind
713	♣K	♡7	False	0	False	One Pair
714	♢2	♢5	True	1	True	Full House
715	♣2	♢5	False	1	True	Three Of A Kind
716	♣4	♣K	True	0	True	One Pair
717	♣3	♠4	False	0	False	One Pair
718	♢A	♣7	False	0	False	High Card
719	♣Q	♡5	False	0	True	Two Pair
720	♣4	♢4	False	2	True	Full House
721	♢5	♣Q	False	0	True	Full House
722	♣4	♣5	True	0	False	One Pair
723	♠2	♡8	False	1	True	Three Of A Kind
724	♢A	♠A	False	2	True	Four Of A Kind
725	♣Q	♢3	False	0	False	One Pair
726	♡K	♢J	False	0	True	Straight
727	♣K	♠2	False	2	True	One Pair
728	♡9	♡5	True	0	False	One Pair
729	♠9	♠7	True	0	True	Three Of A Kind
730	♡6	♠7	False	0	True	Two Pair
731	♡Q	♡6	True	0	True	Three Of A Kind
732	♣J	♢3	False	0	False	One Pair
733	♢4	♡A	False	0	True	Straight Flush
734	♠5	♢A	False	0	False	One Pair
735	♣A	♠7	False	0	True	One Pair
736	♢6	♠T	False	0	False	One Pair
737	♣8	♡8	False	2	True	Two Pair
738	♢6	♢K	True	0	False	High Card
739	♡5	♣J	False	0	True	Three Of A Kind
740	♢9	♡7	False	0	True	One Pair
741	♡Q	♢7	False	0	False	One Pair
742	♢2	♡2	False	1	True	Three Of A Kind
743	♠7	♢8	False	0	False	One Pair
744	♢J	♠T	False	0	True	Three Of A Kind
745	♢7	♢A	True	0	True	Three Of A Kind
746	♣K	♣6	True	0	True	Three Of A Kind
747	♣9	♣K	True	0	True	Three Of A Kind
748	♡7	♠T	False	0	False	One Pair
749	♡T	♡J	True	2	False	One Pair
750	♢4	♠2	False	2	True	Four Of A Kind
751	♢K	♢J	True	2	False	High Card
752	♡2	♠9	False	1	True	Three Of A Kind
753	♡6	♡J	True	0	True	Two Pair
754	♡2	♡A	True	1	True	Three Of A Kind
755	♢9	♢3	True	0	True	Four Of A Kind
756	♣8	♢5	False	0	True	Four Of A Kind
757	♣2	♡T	False	1	True	One Pair
758	♡K	♠Q	False	2	False	One Pair
759	♡K	♣K	False	2	True	Four Of A Kind
760	♡4	♣Q	False	0	True	Three Of A Kind
761	♢8	♢9	True	0	False	One Pair
762	♡3	♣7	False	0	False	High Card
763	♠6	♣5	False	0	True	Three Of A Kind
764	♡7	♣2	False	2	True	Three Of A Kind
765	♡J	♣8	False	0	False	One Pair
766	♣J	♢K	False	0	True	One Pair
767	♢2	♢Q	True	1	True	Five Of A Kind
768	♠J	♠2	True	2	True	Three Of A Kind
769	♢K	♣J	False	0	True	Full House
770	♢5	♠J	False	0	True	One Pair
771	♢A	♣6	False	0	True	Two Pair
772	♣J	♠T	False	0	True	Four Of A Kind
773	♣J	♡3	False	0	False	One Pair
774	♠2	♠K	True	1	True	Three Of A Kind
775	♣6	♠6	False	2	False	One Pair
776	♢A	♣5	False	0	False	One Pair
777	♢Q	♢3	True	0	True	Full House
778	♡5	♣9	False	0	False	One Pair
779	♡Q	♢A	False	2	True	Three Of A Kind
780	♠K	♡4	False	0	True	Three Of A Kind
781	♡K	♡8	True	0	False	One Pair
782	♢3	♠2	False	2	False	One Pair
783	♡4	♡2	True	2	True	Three Of A Kind
784	♠4	♠6	True	0	False	High Card
785	♣2	♢5	False	1	True	One Pair
786	♢6	♠3	False	0	True	Three Of A Kind
787	♢2	♠5	False	1	True	Four Of A Kind
788	♡8	♡6	True	0	False	One Pair
789	♡K	♣3	False	0	False	One Pair
790	♣A	♣5	True	0	False	High Card
791	♢J	♣6	False	0	False	One Pair
792	♠A	♠7	True	0	True	Two Pair
793	♡A	♠T	False	0	True	Straight
794	♣A	♠T	False	0	False	One Pair
795	♣4	♣4	True	2	True	Three Of A Kind
796	♣6	♡J	False	0	False	One Pair
797	♠9	♣8	False	0	True	Five Of A Kind
798	♢T	♠T	False	2	True	Full House
799	♠5	♣J	False	0	True	One Pair
800	♢T	♠8	False	0	True	Three Of A Kind
801	♠6	♠3	True	0	False	One Pair
802	♠A	♡2	False	2	True	Flush
803	♠A	♠T	True	2	True	Three Of A Kind
804	♡K	♡6	True	0	False	High Card
805	♢5	♡8	False	0	True	One Pair
806	♢A	♢6	True	0	True	Three Of A Kind
807	♠5	♡K	False	0	False	One Pair
808	♡6	♡K	True	0	True	Three Of A Kind
809	♡4	♢T	False	0	False	High Card
810	♣K	♠9	False	0	True	Straight
811	♢3	♢Q	True	0	False	One Pair
812	♣K	♢9	False	0	False	One Pair
813	♡6	♣2	False	2	True	Three Of A Kind
814	♡T	♣7	False	0	True	Four Of A Kind
815	♢J	♠5	False	0	False	High Card
816	♡Q	♠T	False	0	True	Four Of A Kind
817	♠Q	♢6	False	0	True	Four Of A Kind
818	♡6	♣6	False	2	False	One Pair
819	♡4	♣3	False	0	True	Four Of A Kind
820	♠6	♠Q	True	0	True	Straight
821	♡2	♢9	False	1	True	Four Of A Kind
822	♡4	♠2	False	2	True	One Pair
823	♢K	♡9	False	0	False	One Pair
824	♠A	♠Q	True	2	True	Full House
825	♢T	♣T	False	2	True	Four Of A Kind
826	♣9	♣5	True	0	True	Straight
827	♠7	♠9	True	0	True	Flush
828	♡3	♣4	False	0	False	One Pair
829	♣3	♠A	False	0	True	One Pair
830	♢6	♣J	False	0	True	Three Of A Kind
831	♠5	♡J	False	0	True	Full House
832	♠7	♠7	True	2	True	Three Of A Kind
833	♠6	♡9	False	0	True	Three Of A Kind
834	♠T	♠4	True	0	False	One Pair
835	♣9	♢J	False	0	False	One Pair
836	♠2	♡3	False	1	True	Three Of A Kind
837	♣4	♢7	False	0	True	Two Pair
838	♡T	♡Q	True	2	True	Straight
839	♠7	♡J	False	0	False	High Card
840	♡4	♠8	False	0	True	One Pair
841	♢K	♡J	False	0	False	One Pair
842	♡T	♢A	False	0	False	One Pair
843	♢6	♣3	False	0	True	Three Of A Kind
844	♠K	♠6	True	0	True	Flush
845	♢2	♣3	False	1	True	Three Of A Kind
846	♣Q	♣Q	True	2	True	Three Of A Kind
847	♡K	♡2	True	2	True	Three Of A Kind
848	♣8	♠5	False	0	True	One Pair
849	♠6	♣5	False	0	True	Three Of A Kind
850	♡K	♣6	False	0	True	Full House
851	♢4	♡8	False	0	True	Three Of A Kind
852	♣T	♢7	False	0	True	Three Of A Kind
853	♡J	♣7	False	0	False	One Pair
854	♢7	♢Q	True	0	True	Flush
855	♠9	♡3	False	0	True	One Pair
856	♡7	♣Q	False	0	False	One Pair
857	♠7	♣4	False	0	False	One Pair
858	♣9	♢9	False	2	True	Three Of A Kind
859	♢J	♣7	False	0	False	One Pair
860	♣K	♣2	True	2	True	Flush
861	♡T	♣5	False	0	True	Three Of A Kind
862	♡9	♣5	False	0	True	One Pair
863	♡T	♢5	False	0	True	Flush
864	♢8	♣6	False	0	False	High Card
865	♣8	♢7	False	0	True	Three Of A Kind
866	♡4	♠T	False	0	False	One Pair
867	♠Q	♡K	False	2	True	Four Of A Kind
868	♡4	♣3	False	0	False	One Pair
869	♠A	♡2	False	2	True	Four Of A Kind
870	♢4	♡J	False	0	True	Three Of A Kind
871	♠6	♣A	False	0	True	Three Of A Kind
872	♠A	♣T	False	0	False	One Pair
873	♣A	♡A	False	2	True	Two Pair
874	♡4	♣Q	False	0	True	Three Of A Kind
875	♣2	♢7	False	1	False	One Pair
876	♠7	♡4	False	0	False	One Pair
877	♢3	♢7	True	0	True	Three Of A Kind
878	♣4	♢7	False	0	True	Three Of A Kind
879	♠8	♢8	False	2	True	Three Of A Kind
880	♠Q	♢5	False	0	False	One Pair
881	♠4	♢Q	False	0	False	One Pair
882	♣4	♠J	False	0	False	One Pair
883	♣2	♠T	False	1	True	Straight
884	♠7	♢A	False	0	True	One Pair
885	♢4	♠K	False	0	True	Full House
886	♠3	♠4	True	0	False	One Pair
887	♣8	♣4	True	0	False	One Pair
888	♠J	♣T	False	0	False	One Pair
889	♠J	♣5	False	0	True	One Pair
890	♢9	♢5	True	0	False	One Pair
891	♣3	♠8	False	0	True	Full House
892	♡K	♠7	False	0	True	One Pair
893	♢8	♢9	True	0	True	One Pair
894	♢K	♢K	True	2	True	Two Pair
895	♢7	♣3	False	0	False	One Pair
896	♠2	♢6	False	1	True	Three Of A Kind
897	♣A	♠T	False	0	True	Five Of A Kind
898	♠T	♠7	True	0	False	One Pair
899	♢A	♣7	False	0	True	Three Of A Kind
900	♣6	♡7	False	0	True	Three Of A Kind
901	♡7	♡9	True	0	True	Three Of A Kind
902	♠T	♠8	True	0	True	Two Pair
903	♣J	♠Q	False	0	False	One Pair
904	♢5	♡2	False	2	False	One Pair
905	♣A	♣J	True	2	False	One Pair
906	♠2	♣4	False	1	True	Three Of A Kind
907	♣K	♣2	True	2	True	Three Of A Kind
908	♠5	♣J	False	0	False	One Pair
909	♢8	♡8	False	2	True	Three Of A Kind
910	♣7	♠Q	False	0	True	Three Of A Kind
911	♡2	♠K	False	1	True	Three Of A Kind
912	♣9	♠9	False	2	True	Three Of A Kind
913	♣6	♡7	False	0	True	One Pair
914	♠5	♡J	False	0	True	Two Pair
915	♡4	♢K	False	0	False	One Pair
916	♣T	♢4	False	0	False	One Pair
917	♣6	♣A	True	0	True	Two Pair
918	♢6	♠4	False	0	True	Full House
919	♢3	♢J	True	0	True	One Pair
920	♠8	♣K	False	0	False	One Pair
921	♣4	♡3	False	0	False	One Pair
922	♡9	♡K	True	0	True	One Pair
923	♣7	♠3	False	0	True	Two Pair
924	♡J	♣T	False	0	True	Two Pair
925	♢2	♢9	True	1	True	Three Of A Kind
926	♡9	♢8	False	0	False	One Pair
927	♢5	♣6	False	0	True	Three Of A Kind
928	♢T	♢A	True	2	True	Three Of A Kind
929	♠Q	♠K	True	2	True	Two Pair
930	♢4	♠K	False	0	False	One Pair
931	♡5	♡3	True	0	True	Three Of A Kind
932	♠8	♡7	False	0	True	Two Pair
933	♣8	♠K	False	0	True	Two Pair
934	♡4	♡9	True	0	False	One Pair
935	♡2	♡J	True	1	True	Four Of A Kind
936	♡A	♡3	True	0	False	High Card
937	♣5	♡5	False	2	False	One Pair
938	♠K	♡A	False	2	True	Three Of A Kind
939	♠4	♢3	False	0	False	One Pair
940	♡2	♢A	False	1	True	One Pair
941	♡2	♡5	True	1	False	One Pair
942	♠2	♣Q	False	1	True	Five Of A Kind
943	♣4	♣6	True	0	False	One Pair
944	♡3	♢5	False	0	True	Two Pair
945	♡K	♢2	False	2	True	Three Of A Kind
946	♣6	♣Q	True	0	True	Three Of A Kind
947	♠8	♢A	False	0	True	Three Of A Kind
948	♢9	♡6	False	0	True	Two Pair
949	♣T	♢8	False	0	True	Three Of A Kind
950	♡J	♣J	False	2	False	One Pair
951	♣T	♢6	False	0	True	Three Of A Kind
952	♠K	♢8	False	0	True	Four Of A Kind
953	♠J	♣A	False	0	True	One Pair
954	♢8	♣5	False	0	True	Three Of A Kind
955	♠K	♡4	False	0	False	High Card
956	♠2	♠T	True	1	True	Four Of A Kind
957	♡T	♢J	False	0	True	Full House
958	♡K	♢K	False	2	True	Three Of A Kind
959	♢6	♠J	False	0	True	Three Of A Kind
960	♢3	♡T	False	0	True	Three Of A Kind
961	♡K	♢Q	False	2	False	One Pair
962	♢Q	♠4	False	0	False	One Pair
963	♡4	♠T	False	0	False	One Pair
964	♡2	♡7	True	1	True	Three Of A Kind
965	♠A	♣3	False	0	True	Two Pair
966	♢T	♢2	True	2	True	Three Of A Kind
967	♣3	♠K	False	0	False	One Pair
968	♠Q	♡6	False	0	True	Three Of A Kind
969	♣Q	♠2	False	2	True	Three Of A Kind
970	♣K	♣A	True	2	True	One Pair
971	♡A	♢2	False	2	True	Three Of A Kind
972	♢3	♣K	False	0	True	Full House
973	♣8	♣A	True	0	False	One Pair
974	♣9	♣8	True	0	False	High Card
975	♡2	♣4	False	1	True	Four Of A Kind
976	♣J	♢A	False	0	False	High Card
977	♢2	♢8	True	1	True	Three Of A Kind
978	♠8	♡8	False	2	True	Full House
979	♠8	♠T	True	0	True	Three Of A Kind
980	♢2	♢Q	True	1	True	Flush
981	♢A	♠6	False	0	True	Three Of A Kind
982	♣K	♡4	False	0	True	Three Of A Kind
983	♠9	♣8	False	0	True	Two Pair
984	♢5	♡J	False	0	True	Three Of A Kind
985	♠9	♢T	False	0	True	One Pair
986	♢9	♡A	False	0	False	One Pair
987	♡5	♣2	False	2	False	One Pair
988	♣Q	♢2	False	2	True	Straight
989	♡7	♢6	False	0	True	Two Pair
990	♢A	♣7	False	0	True	Two Pair
991	♣9	♢4	False	0	False	One Pair
992	♣2	♡7	False	1	True	Three Of A Kind
993	♣4	♢Q	False	0	True	Full House
994	♢4	♢A	True	0	True	One Pair
995	♣3	♠9	False	0	False	One Pair
996	♡T	♡7	True	0	True	Flush
997	♠2	♠8	True	1	True	Three Of A Kind
998	♣6	♡8	False	0	False	One Pair
999	♢J	♣8	False	0	False	One Pair
0	♢T	♢4	True	0	False	One Pair
1	♠4	♠6	True	0	True	Three Of A Kind
2	♡A	♠K	False	2	True	Two Pair
3	♡5	♠8	False	0	True	Three Of A Kind
4	♢Q	♠6	False	0	True	Four Of A Kind
5	♠J	♢4	False	0	False	One Pair
6	♣K	♢J	False	0	True	Five Of A Kind
7	♢Q	♣K	False	2	False	High Card
8	♢K	♠6	False	0	True	Full House
9	♠3	♡J	False	0	False	One Pair
10	♣J	♡8	False	0	True	Four Of A Kind
11	♢A	♣6	False	0	True	One Pair
12	♣3	♠4	False	0	False	One Pair
13	♠2	♡K	False	1	True	Full House
14	♡8	♠9	False	0	True	Three Of A Kind
15	♡2	♡J	True	1	False	One Pair
16	♣Q	♠A	False	2	True	One Pair
17	♡5	♢6	False	0	True	One Pair
18	♠4	♢T	False	0	True	Three Of A Kind
19	♣Q	♠T	False	0	False	One Pair
20	♣4	♠8	False	0	False	One Pair
21	♢5	♡T	False	0	False	One Pair
22	♠9	♣T	False	0	True	One Pair
23	♠K	♢8	False	0	True	Full House
24	♡7	♣J	False	0	False	High Card
25	♣5	♡3	False	0	True	Three Of A Kind
26	♠7	♡A	False	0	True	One Pair
27	♡2	♡Q	True	1	True	Three Of A Kind
28	♢6	♢2	True	2	True	One Pair
29	♡2	♡K	True	1	False	One Pair
30	♠6	♡3	False	0	True	Four Of A Kind
31	♢J	♢5	True	0	False	One Pair
32	♠8	♢3	False	0	True	Four Of A Kind
33	♣9	♡Q	False	0	False	One Pair
34	♢4	♢5	True	0	True	Three Of A Kind
35	♣J	♠J	False	2	True	Three Of A Kind
36	♣2	♡9	False	1	True	Three Of A Kind
37	♡J	♣T	False	0	True	Two Pair
38	♢3	♡8	False	0	True	Three Of A Kind
39	♢3	♡Q	False	0	True	One Pair
40	♠K	♡4	False	0	True	One Pair
41	♣9	♣2	True	2	True	Four Of A Kind
42	♡8	♡9	True	0	True	Two Pair
43	♠J	♢7	False	0	True	Three Of A Kind
44	♠Q	♠T	True	2	False	One Pair
45	♣K	♢A	False	2	True	Two Pair
46	♢K	♠5	False	0	True	Two Pair
47	♣8	♠2	False	2	True	Three Of A Kind
48	♠3	♠9	True	0	True	One Pair
49	♣Q	♣Q	True	2	True	Three Of A Kind
50	♣5	♢Q	False	0	False	One Pair
51	♡3	♡2	True	2	True	One Pair
52	♢T	♢A	True	2	True	Four Of A Kind
53	♡7	♣J	False	0	True	Four Of A Kind
54	♠J	♡A	False	0	True	One Pair
55	♡7	♣A	False	0	True	Two Pair
56	♠5	♡7	False	0	True	Three Of A Kind
57	♡6	♠8	False	0	False	One Pair
58	♡A	♢6	False	0	False	High Card
59	♢A	♢9	True	0	True	Three Of A Kind
60	♡5	♣Q	False	0	False	One Pair
61	♡5	♡9	True	0	True	Flush
62	♡6	♡4	True	0	True	Three Of A Kind
63	♡6	♢2	False	2	True	One Pair
64	♠4	♢T	False	0	False	One Pair
65	♣4	♠8	False	0	True	Two Pair
66	♡8	♡7	True	0	False	High Card
67	♢2	♡3	False	1	True	Three Of A Kind
68	♡5	♡8	True	0	False	One Pair
69	♢2	♢K	True	1	True	Three Of A Kind
70	♠7	♠T	True	0	True	Four Of A Kind
71	♣6	♡K	False	0	False	High Card
72	♠A	♡Q	False	2	True	Four Of A Kind
73	♠6	♢2	False	2	True	Three Of A Kind
74	♠8	♡5	False	0	True	Straight
75	♡5	♣4	False	0	True	Three Of A Kind
76	♢K	♡2	False	2	True	Three Of A Kind
77	♣A	♠7	False	0	True	Three Of A Kind
78	♡2	♠6	False	1	True	Four Of A Kind
79	♠7	♣J	False	0	False	High Card
80	♣T	♣K	True	2	True	Three Of A Kind
81	♡8	♢J	False	0	True	Two Pair
82	♡K	♡Q	True	2	True	One Pair
83	♠2	♢7	False	1	True	One Pair
84	♣5	♢3	False	0	True	Two Pair
85	♠7	♠3	True	0	True	One Pair
86	♡A	♢5	False	0	True	Four Of A Kind
87	♢K	♠8	False	0	True	Three Of A Kind
88	♢K	♠2	False	2	True	Straight
89	♡Q	♡3	True	0	True	Two Pair
90	♣3	♡T	False	0	False	High Card
91	♣6	♡K	False	0	True	Three Of A Kind
92	♡J	♣7	False	0	True	Straight
93	♡2	♢8	False	1	True	One Pair
94	♣A	♡Q	False	2	True	One Pair
95	♣8	♣Q	True	0	True	Three Of A Kind
96	♢2	♡2	False	1	True	Straight
97	♠8	♠Q	True	0	False	High Card
98	♣Q	♢6	False	0	True	Three Of A Kind
99	♡A	♡J	True	2	True	Flush
100	♢5	♠6	False	0	True	Four Of A Kind
101	♣A	♡Q	False	2	True	Two Pair
102	♢2	♢7	True	1	True	Four Of A Kind
103	♡T	♢6	False	0	False	One Pair
104	♠3	♠J	True	0	False	High Card
105	♣A	♠7	False	0	True	One Pair
106	♢4	♡9	False	0	True	Three Of A Kind
107	♢K	♡7	False	0	False	One Pair
108	♣T	♣2	True	2	True	Four Of A Kind
109	♣3	♠9	False	0	True	Two Pair
110	♡3	♠4	False	0	False	One Pair
111	♣9	♠5	False	0	True	Three Of A Kind
112	♢3	♢A	True	0	False	One Pair
113	♣T	♢J	False	0	True	Full House
114	♢9	♣A	False	0	True	One Pair
115	♢Q	♢7	True	0	False	One Pair
116	♡4	♣4	False	2	True	Three Of A Kind
117	♢7	♣3	False	0	True	Three Of A Kind
118	♠K	♡4	False	0	False	One Pair
119	♣6	♠8	False	0	True	Straight
120	♣4	♢A	False	0	True	Three Of A Kind
121	♠9	♠4	True	0	True	Four Of A Kind
122	♠T	♣6	False	0	False	One Pair
123	♢J	♡Q	False	0	True	Two Pair
124	♢Q	♢J	True	2	False	One Pair
125	♠8	♣T	False	0	True	One Pair
126	♠9	♣5	False	0	True	Full House
127	♢6	♢5	True	0	True	Full House
128	♡6	♠2	False	2	True	Five Of A Kind
129	♠A	♢4	False	0	False	High Card
130	♡Q	♢3	False	0	False	One Pair
131	♠7	♢T	False	0	False	One Pair
132	♡T	♣J	False	0	True	One Pair
133	♡A	♡K	True	2	True	Two Pair
134	♠A	♢T	False	0	False	One Pair
135	♢2	♠2	False	1	True	Straight Flush
136	♡8	♠J	False	0	True	Two Pair
137	♡5	♢A	False	0	False	One Pair
138	♣T	♢T	False	2	True	Three Of A Kind
139	♣J	♢K	False	0	False	High Card
140	♣K	♠K	False	2	True	Three Of A Kind
141	♡4	♡7	True	0	True	Three Of A Kind
142	♢Q	♠7	False	0	True	Four Of A Kind
143	♠9	♢Q	False	0	False	One Pair
144	♢8	♡3	False	0	True	Three Of A Kind
145	♢J	♠4	False	0	True	Two Pair
146	♢K	♣Q	False	2	True	Four Of A Kind
147	♠4	♡4	False	2	False	One Pair
148	♣K	♠K	False	2	True	Two Pair
149	♡3	♣7	False	0	False	One Pair
150	♠7	♣5	False	0	True	Four Of A Kind
151	♣7	♡A	False	0	True	Two Pair
152	♢6	♠3	False	0	False	One Pair
153	♣8	♣A	True	0	True	Two Pair
154	♡A	♠9	False	0	True	One Pair
155	♡5	♢K	False	0	False	One Pair
156	♠7	♠6	True	0	True	Two Pair
157	♠K	♣J	False	0	False	One Pair
158	♡2	♠J	False	1	True	Five Of A Kind
159	♣2	♣4	True	1	True	Three Of A Kind
160	♡6	♢4	False	0	True	Three Of A Kind
161	♡3	♣K	False	0	True	Five Of A Kind
162	♣9	♣6	True	0	True	Straight
163	♡K	♢Q	False	2	False	One Pair
164	♠8	♠9	True	0	True	Straight
165	♣Q	♣2	True	2	True	Four Of A Kind
166	♣6	♡3	False	0	True	Straight
167	♣6	♠Q	False	0	True	Three Of A Kind
168	♡6	♡3	True	0	True	Two Pair
169	♣J	♢5	False	0	True	Two Pair
170	♢2	♠K	False	1	True	Four Of A Kind
171	♢K	♢3	True	0	False	High Card
172	♠6	♣K	False	0	True	One Pair
173	♣J	♠7	False	0	True	Full House
174	♡2	♡J	True	1	True	Straight
175	♣K	♠8	False	0	True	Four Of A Kind
176	♣2	♠8	False	1	True	Straight
177	♡6	♡6	True	2	False	One Pair
178	♢2	♡J	False	1	True	Three Of A Kind
179	♣2	♣K	True	1	True	Three Of A Kind
180	♠3	♡Q	False	0	True	Flush
181	♡4	♢2	False	2	True	One Pair
182	♡2	♣A	False	1	True	Four Of A Kind
183	♠A	♡8	False	0	True	Four Of A Kind
184	♣3	♢6	False	0	False	One Pair
185	♡7	♡J	True	0	True	Straight
186	♣9	♠6	False	0	True	Three Of A Kind
187	♣7	♣A	True	0	True	One Pair
188	♣9	♠J	False	0	True	Two Pair
189	♠4	♠3	True	0	True	Two Pair
190	♣2	♡4	False	1	True	Straight
191	♠T	♡6	False	0	False	One Pair
192	♡9	♠2	False	2	True	Four Of A Kind
193	♢4	♠3	False	0	True	Straight
194	♢T	♢7	True	0	False	One Pair
195	♣T	♠3	False	0	True	Two Pair
196	♢K	♠A	False	2	True	One Pair
197	♠K	♡A	False	2	True	Flush
198	♡8	♢7	False	0	True	Straight
199	♠J	♡Q	False	0	True	Three Of A Kind
200	♠T	♣Q	False	0	False	High Card
201	♢J	♢5	True	0	True	Three Of A Kind
202	♣T	♣9	True	0	False	One Pair
203	♠9	♣8	False	0	True	Five Of A Kind
204	♢3	♢Q	True	0	True	Three Of A Kind
205	♠8	♡3	False	0	False	One Pair
206	♡8	♢5	False	0	True	Three Of A Kind
207	♢5	♣J	False	0	True	Three Of A Kind
208	♡5	♠Q	False	0	False	One Pair
209	♣2	♡5	False	1	True	Three Of A Kind
210	♢2	♡A	False	1	True	Three Of A Kind
211	♡K	♢T	False	0	True	Three Of A Kind
212	♢6	♡4	False	0	True	Straight
213	♠J	♡3	False	0	True	Two Pair
214	♡3	♣7	False	0	True	Three Of A Kind
215	♣7	♠5	False	0	True	Three Of A Kind
216	♣9	♠7	False	0	False	One Pair
217	♢3	♣K	False	0	False	One Pair
218	♣8	♢9	False	0	True	Three Of A Kind
219	♡2	♣K	False	1	True	Three Of A Kind
220	♣9	♢3	False	0	True	Three Of A Kind
221	♣2	♡3	False	1	True	Three Of A Kind
222	♢8	♠4	False	0	False	One Pair
223	♣2	♢2	False	1	True	Three Of A Kind
224	♠K	♣4	False	0	True	Three Of A Kind
225	♡8	♣6	False	0	True	Five Of A Kind
226	♣9	♢Q	False	0	True	Four Of A Kind
227	♣3	♠3	False	2	True	Five Of A Kind
228	♢7	♠J	False	0	True	Three Of A Kind
229	♡A	♡6	True	0	True	One Pair
230	♢4	♡9	False	0	True	Three Of A Kind
231	♣3	♡A	False	0	True	Four Of A Kind
232	♣3	♠5	False	0	True	Three Of A Kind
233	♠7	♣A	False	0	True	Two Pair
234	♢3	♡5	False	0	True	Two Pair
235	♡A	♣5	False	0	True	Three Of A Kind
236	♢4	♣8	False	0	True	Three Of A Kind
237	♡K	♠9	False	0	True	One Pair
238	♣2	♣Q	True	1	True	Three Of A Kind
239	♢2	♣5	False	1	True	Three Of A Kind
240	♠J	♢J	False	2	True	Three Of A Kind
241	♡8	♠2	False	2	True	Three Of A Kind
242	♢8	♢9	True	0	True	Three Of A Kind
243	♡2	♡3	True	1	False	One Pair
244	♢3	♢7	True	0	False	One Pair
245	♢7	♠3	False	0	False	One Pair
246	♢9	♢T	True	0	True	Flush
247	♡K	♢5	False	0	False	High Card
248	♠6	♢5	False	0	True	Three Of A Kind
249	♡8	♣A	False	0	True	Three Of A Kind
250	♠6	♣6	False	2	True	Three Of A Kind
251	♡4	♠K	False	0	True	Two Pair
252	♢4	♡3	False	0	True	One Pair
253	♠K	♣6	False	0	False	High Card
254	♡J	♡5	True	0	False	One Pair
255	♠8	♢Q	False	0	True	Four Of A Kind
256	♣2	♣T	True	1	True	Four Of A Kind
257	♣4	♡T	False	0	False	One Pair
258	♢8	♡2	False	2	True	Full House
259	♣5	♢A	False	0	True	One Pair
260	♣8	♠5	False	0	False	One Pair
261	♠6	♢7	False	0	True	One Pair
262	♡K	♢5	False	0	False	One Pair
263	♢6	♡Q	False	0	True	Three Of A Kind
264	♠K	♢3	False	0	True	Three Of A Kind
265	♣4	♣6	True	0	True	Four Of A Kind
266	♣8	♡9	False	0	True	Three Of A Kind
267	♢7	♡J	False	0	False	High Card
268	♠5	♣8	False	0	False	One Pair
269	♣9	♢7	False	0	True	Four Of A Kind
270	♣A	♣Q	True	2	True	Two Pair
271	♢K	♠6	False	0	True	Four Of A Kind
